date,country,region,place_type,geo_code,cases,deaths
2020-04-03,Northern Ireland,Belfast,lgd,N09000003,272,
2020-04-02,Northern Ireland,Belfast,lgd,N09000003,226,
2020-04-01,Northern Ireland,Belfast,lgd,N09000003,200,
2020-03-31,Northern Ireland,Belfast,lgd,N09000003,166,
2020-03-30,Northern Ireland,Belfast,lgd,N09000003,160,
2020-03-29,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-28,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-27,Northern Ireland,Belfast,lgd,N09000003,86,
2020-03-26,Northern Ireland,Belfast,lgd,N09000003,75,
2020-03-25,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-24,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-23,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-22,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-21,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-20,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-19,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-18,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-17,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-16,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-15,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-14,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-13,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-12,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-11,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-10,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-09,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-08,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-07,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-06,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-05,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-04,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-03,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-02,Northern Ireland,Belfast,lgd,N09000003,,
2020-03-01,Northern Ireland,Belfast,lgd,N09000003,,
2020-02-29,Northern Ireland,Belfast,lgd,N09000003,,
2020-02-28,Northern Ireland,Belfast,lgd,N09000003,,
2020-02-27,Northern Ireland,Belfast,lgd,N09000003,,
2020-02-26,Northern Ireland,Belfast,lgd,N09000003,,
2020-02-25,Northern Ireland,Belfast,lgd,N09000003,,
2020-04-15,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,98,
2020-04-14,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-04-13,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-04-12,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-04-11,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-04-10,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,63,
2020-04-09,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,43,
2020-04-08,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,35,
2020-04-07,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,32,
2020-04-06,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,26,
2020-04-05,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-04-04,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-04-03,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,21,
2020-04-02,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,19,
2020-04-01,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,18,
2020-03-31,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,16,
2020-03-30,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,11,
2020-03-29,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-28,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-27,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,5,
2020-03-26,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,5,
2020-03-25,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-24,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-23,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
