countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
OWID_CYN,Asia,Northern Cyprus,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97969,53886,44083,,1403,26,14,12,3671,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252,,,,3276,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,,,,2883,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,,,,2491,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,,,,2096,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,,,,1703,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,1311,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104978,56516,48462,,350,27,15,13,916,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,,,965,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,,,,1012,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,1060,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,,,1107,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107365,58812,48553,,441,28,15,13,1154,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,1222,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,1290,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,1308,,,,,,,,,,,,,,,,
